Product Name,Current Date,Current Price,Old Date,Old Price,Category
Samsung Galaxy S23 Siyah Ultra Akıllı Ekranlı Kılıf,09/06/2023,1534,16/03/2023,2149,cep-telefonu-kilifi
Wiwu Apple iPad Air 10.9 2020 4.Nesil Mag Touch Klavyeli Standlı Kılıf,09/06/2023,1699,20/07/2022,1085,cep-telefonu-kilifi
Apple Mpu73Zm/A iPhone 14 Pro Max Uyumlu Magsafe Özellikli Şeffaf Telefon Kılıfı,09/06/2023,699,04/10/2022,1079,cep-telefonu-kilifi
Toshiba HDTB420EK3AA Siyah 2TB Harici Harddisk,09/06/2023,1699,10/06/2022,924,tasinabilir-hard-diskler
Western Digital Elements WDBUZG0010BBK-WESN 1TB Taşınabilir Harddisk,09/06/2023,949,21/06/2022,730,tasinabilir-hard-diskler
Western Digital Elements 3TB WDBU6Y0030BBK Taşınabilir Harddisk,09/06/2023,1798,10/06/2022,1249,tasinabilir-hard-diskler
Sandisk SDDDC3-256G-G46NB 256GB USB Flash Bellek,09/06/2023,489,08/07/2022,562,flash-bellekler
Sony USM32GR 32GB Flash Bellek,09/06/2023,378,14/06/2022,169,flash-bellekler
Canon EOS 2000D 18-55 mm DSLR Fotoğraf Makinesi,09/06/2023,9250,10/06/2022,6600,dijital-fotograf-makineleri
Fujifilm Instax Mini 11 Mavi Fotoğraf Makinesi,09/06/2023,2100,10/06/2022,1149,dijital-fotograf-makineleri
Nikon D7500,09/06/2023,24999,10/06/2022,19940,dijital-fotograf-makineleri
Philips One Blade QP2520/20 Tek Bıçaklı Şarjlı Tıraş Makinesi,09/06/2023,739,26/06/2022,445,tiras-makineleri
Philips MG3710/15 Erkek Bakım Kiti 6in1,09/06/2023,439,11/06/2022,299,tiras-makineleri
Powertec TR-258 Şarjlı saç sakal Tıraş Makinesi,09/06/2023,139,19/06/2022,184,tiras-makineleri
Project Cars PC,09/06/2023,139,10/06/2022,117,bilgisayar-oyunlari
The Elder Scrolls V Skyrim PC,09/06/2023,947,08/11/2022,1205,bilgisayar-oyunlari
Assassins Creed III Special Edition PC,09/06/2023,323,22/06/2022,89,bilgisayar-oyunlari
Kaukko Special Partition Kırmızı Kalem Kutusu,09/06/2023,39,11/06/2022,34,kalemlik-kalem-kutusu
Mikro M-80 Kalem Kutusu,09/06/2023,64,13/06/2022,22,kalemlik-kalem-kutusu
Brons BR-3101 Çift Gözlü Kalem Çantası,09/06/2023,36,10/06/2022,25,kalemlik-kalem-kutusu
Pensan Triball 8 li Renkli Tükenmez Kalem,09/06/2023,26,10/06/2022,15,tukenmez-kalem
Faber-Castell 144153 Grip 2011 Metalik Mavi Tükenmez Kalem,09/06/2023,142,01/07/2022,107,tukenmez-kalem
Scrikss NP-68 Mavi 0.5 mm İğne Uçlu Kalem,09/06/2023,25,10/06/2022,11,tukenmez-kalem
Edding 344 Turuncu Fosforlu Kalem,09/06/2023,14,14/06/2022,7,fosforlu-kalem
Faber-Castell 1548 Sarı 10'lu Fosforlu Kalem,09/06/2023,260,30/06/2022,220,fosforlu-kalem
Stabilo 70 116 Yeşil Boss Original Pastel Fosforlu Kalem,09/06/2023,23,09/06/2022,14,fosforlu-kalem
Kiwi KSI-6319C 2000 W Seramik Tabanlı Buharlı Ütü,09/06/2023,269,11/06/2022,259,utuler
Arzum AR684 2400W Buharlı Ütü,09/06/2023,479,13/06/2022,325,utuler
Arnica UT61040 Flora Mor Şok Buharlı Ütü,09/06/2023,542,14/06/2022,377,utuler
Luxell LXF 285 4 Salınımlı Vantilatör,09/06/2023,439,10/06/2022,399,vantilatorler
Altus AL 16 A Ayaklı Vantilatör,09/06/2023,745,10/06/2022,639,vantilatorler
Sinbo SF-6783 Vantilatör,09/06/2023,449,10/06/2022,426,vantilatorler
Seduna Skagen Plus Çalışma Sandalyesi Ofis Koltuğu,09/06/2023,1551,10/06/2022,971,calisma-koltugu
Seduna Siyah Skagen Çalışma Koltuğu,09/06/2023,1294,01/07/2022,839,calisma-koltugu
Razer Deathadder V2 Gamer Mouse,09/06/2023,689,10/06/2022,273,oyuncu-mouse
SteelSeries Rival 3 Kablolu RGB Gaming Mouse,09/06/2023,636,11/06/2022,279,oyuncu-mouse
Logitech G300S 910-004346 Mouse,09/06/2023,489,10/06/2022,220,oyuncu-mouse
Crocs 11016 Crocband Lacivert Erkek Terlik,09/06/2023,299,10/06/2022,269,erkek-terlikleri-ve-sandaletleri
Adidas ADILETTE AQUA F35543 Siyah Erkek Terlik,09/06/2023,429,23/06/2022,389,erkek-terlikleri-ve-sandaletleri
Birkenstock Arizona Siyah Erkek Terlik,09/06/2023,1239,17/06/2022,713,erkek-terlikleri-ve-sandaletleri
Şeker Portakalı - Jose Mauro De Vasconcelos,09/06/2023,27,01/07/2022,25,cok-satan-kitaplar
Sokrates’in Savunması İş Bankası Kültür Yayınları,09/06/2023,28,13/06/2022,19,cok-satan-kitaplar
Hasbro 04199 Tabu XL Oyunu,09/06/2023,567,09/06/2022,350,yetiskinler-icin-oyunlar
Ks Games Master Ahşap Okey,09/06/2023,599,12/06/2022,419,yetiskinler-icin-oyunlar
KS Games Metropol Oyunu,09/06/2023,219,09/06/2022,119,yetiskinler-icin-oyunlar
Kiwi KK-3328 Cam Hazneli Su Isıtıcı,09/06/2023,269,01/09/2022,229,su-isiticilari-kettle
Philips HD9339-80 İnox Cam 1.7 lt Su Isıtıcı,09/06/2023,585,10/06/2022,589,su-isiticilari-kettle
Samsung Galaxy A23 128GB 4GB Ram 6.6 inç 50MP Akıllı Cep Telefonu,09/06/2023,6399,10/06/2022,4389,cep-telefonlari
JBL Go 3 Mavi Bluetooth Hoparlör,09/06/2023,913,27/06/2022,689,bluetooth-hoparlor
Harman Kardon Aura Studio 3 Kablosuz Bluetooth Hoparlör,09/06/2023,7469,10/06/2022,4749,bluetooth-hoparlor
JBL Clip 4 Mavi Taşınabilir Bluetooth Hoparlör,09/06/2023,1376,31/07/2022,899,bluetooth-hoparlor
Viewsonic VX2718-2KPC-MHDJ 2560x1440 2K Gaming Monitör,09/06/2023,5751,14/12/2022,5498,monitor
Luxell LXF 285 4 Salınımlı Vantilatör,09/06/2023,439,10/06/2022,399,vantilatorler
